Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Light Gradient Boosting Machine,1.4875,3.945,1.9781,0.418,0.528,0.4911,0.221,"(1, 8, 15)"
Random Forest Regressor,1.5005,3.8976,1.9691,0.4276,0.5341,0.4823,0.438,"(1, 8, 15)"
Gradient Boosting Regressor,1.5337,4.0359,2.0057,0.4055,0.5421,0.4997,0.303,"(1, 8, 15)"
Ridge Regression,1.8242,5.4605,2.3324,0.1952,0.616,0.6417,0.189,"(1, 8, 15)"
Linear Regression,1.826,5.5582,2.3528,0.1755,0.6192,0.6384,0.189,"(1, 8, 15)"
AdaBoost Regressor,1.8882,5.3367,2.3055,0.2156,0.6407,0.6931,0.239,"(1, 8, 15)"
Huber Regressor,1.8914,5.8829,2.4225,0.1354,0.6288,0.6325,0.204,"(1, 8, 15)"
Bayesian Ridge,1.9253,5.8067,2.407,0.1461,0.64,0.6802,0.193,"(1, 8, 15)"
Orthogonal Matching Pursuit,1.9395,5.9075,2.4273,0.1317,0.6435,0.6823,0.196,"(1, 8, 15)"
Elastic Net,1.9559,5.9697,2.4403,0.1231,0.6488,0.6884,0.193,"(1, 8, 15)"
Lasso Regression,1.9744,6.0431,2.4552,0.1123,0.6558,0.696,0.192,"(1, 8, 15)"
Lasso Least Angle Regression,1.9744,6.0431,2.4552,0.1123,0.6558,0.696,0.192,"(1, 8, 15)"
K Neighbors Regressor,2.1032,7.1372,2.6587,-0.0458,0.7013,0.7402,0.192,"(1, 8, 15)"
Decision Tree Regressor,2.1371,8.9823,2.9838,-0.3397,0.7633,0.7291,0.193,"(1, 8, 15)"
Dummy Regressor,2.2004,6.9766,2.6348,-0.019,0.6986,0.8288,0.196,"(1, 8, 15)"
Passive Aggressive Regressor,3.0345,18.66,3.744,-2.1139,0.8206,1.226,0.191,"(1, 8, 15)"
Least Angle Regression,92107.4621,81047781518.3864,127066.6599,-11546587766.3358,4.8756,33594.1429,0.202,"(1, 8, 15)"
Extra Trees Regressor,1.4197,3.4732,1.8594,0.4741,0.5285,0.4788,0.276,"(1, 8, 16)"
Light Gradient Boosting Machine,1.5256,3.9634,1.9863,0.3983,0.5535,0.5386,0.236,"(1, 8, 16)"
Random Forest Regressor,1.5526,4.0043,1.9972,0.3936,0.5624,0.5257,0.45,"(1, 8, 16)"
Gradient Boosting Regressor,1.5532,4.1499,2.028,0.3727,0.5589,0.5253,0.309,"(1, 8, 16)"
Linear Regression,1.8327,5.2525,2.2878,0.1994,0.6244,0.6843,0.191,"(1, 8, 16)"
Ridge Regression,1.842,5.2677,2.2899,0.1986,0.6296,0.666,0.191,"(1, 8, 16)"
Bayesian Ridge,1.8794,5.4063,2.3211,0.1777,0.6375,0.6813,0.193,"(1, 8, 16)"
AdaBoost Regressor,1.9062,5.2696,2.2927,0.2018,0.6589,0.7345,0.24,"(1, 8, 16)"
Huber Regressor,1.9142,5.7711,2.3982,0.1219,0.6475,0.6596,0.201,"(1, 8, 16)"
Orthogonal Matching Pursuit,1.9608,5.7853,2.403,0.1202,0.6597,0.7117,0.196,"(1, 8, 16)"
Elastic Net,1.9922,5.9715,2.4393,0.0951,0.6683,0.7178,0.195,"(1, 8, 16)"
Lasso Regression,2.0142,6.0565,2.457,0.0825,0.6748,0.728,0.196,"(1, 8, 16)"
Lasso Least Angle Regression,2.0142,6.0565,2.457,0.0825,0.6748,0.728,0.194,"(1, 8, 16)"
Decision Tree Regressor,2.0229,7.7646,2.7707,-0.1879,0.7625,0.7548,0.201,"(1, 8, 16)"
K Neighbors Regressor,2.1646,7.1909,2.679,-0.0936,0.7064,0.7952,0.193,"(1, 8, 16)"
Dummy Regressor,2.1792,6.7188,2.5885,-0.0171,0.7031,0.8354,0.2,"(1, 8, 16)"
Passive Aggressive Regressor,2.8442,12.9246,3.4747,-0.9512,0.8523,1.1962,0.191,"(1, 8, 16)"
Least Angle Regression,1478537.0134,46111238083519.59,2281681.18,-8349582771120.21,6.1776,521382.2201,0.196,"(1, 8, 16)"
Extra Trees Regressor,1.4948,3.9538,1.9813,0.4619,0.5451,0.476,0.282,"(1, 8, 17)"
Light Gradient Boosting Machine,1.5835,4.3416,2.0767,0.4079,0.5715,0.5032,0.24,"(1, 8, 17)"
Random Forest Regressor,1.6026,4.3135,2.0704,0.413,0.571,0.5065,0.44,"(1, 8, 17)"
Gradient Boosting Regressor,1.6828,4.7695,2.1768,0.3497,0.5894,0.5322,0.311,"(1, 8, 17)"
Decision Tree Regressor,1.9306,7.6664,2.7638,-0.0528,0.7563,0.6969,0.195,"(1, 8, 17)"
Ridge Regression,1.9523,5.9983,2.4406,0.1817,0.6558,0.6539,0.206,"(1, 8, 17)"
Linear Regression,1.9654,6.1828,2.4772,0.1578,0.6629,0.658,0.197,"(1, 8, 17)"
Bayesian Ridge,2.0297,6.2528,2.4931,0.1476,0.6739,0.6877,0.202,"(1, 8, 17)"
Huber Regressor,2.067,6.4799,2.5354,0.1184,0.6775,0.6826,0.199,"(1, 8, 17)"
AdaBoost Regressor,2.0707,6.1532,2.4768,0.1589,0.7024,0.761,0.251,"(1, 8, 17)"
Orthogonal Matching Pursuit,2.1185,6.6158,2.5644,0.0985,0.6924,0.7194,0.194,"(1, 8, 17)"
Elastic Net,2.1313,6.6681,2.5762,0.0901,0.6979,0.7263,0.2,"(1, 8, 17)"
Lasso Regression,2.1501,6.7418,2.5904,0.0803,0.705,0.7329,0.199,"(1, 8, 17)"
Lasso Least Angle Regression,2.1501,6.7418,2.5904,0.0803,0.705,0.7329,0.199,"(1, 8, 17)"
K Neighbors Regressor,2.2746,7.7854,2.7839,-0.0661,0.751,0.8011,0.199,"(1, 8, 17)"
Dummy Regressor,2.3143,7.4439,2.7257,-0.018,0.7378,0.8303,0.203,"(1, 8, 17)"
Passive Aggressive Regressor,2.8921,13.107,3.5711,-0.8114,0.917,0.9737,0.202,"(1, 8, 17)"
Least Angle Regression,26955.6505,7041525884.1036,46496.7031,-935792625.2091,5.711,11604.3421,0.198,"(1, 8, 17)"
Extra Trees Regressor,1.3086,3.3651,1.8272,0.4883,0.4909,0.4267,0.276,"(1, 9, 10)"
Light Gradient Boosting Machine,1.3694,3.6461,1.8996,0.4455,0.5076,0.4783,0.243,"(1, 9, 10)"
Random Forest Regressor,1.3878,3.5608,1.8762,0.4624,0.5097,0.4652,0.421,"(1, 9, 10)"
Gradient Boosting Regressor,1.5064,4.056,2.0063,0.3865,0.5369,0.5289,0.306,"(1, 9, 10)"
Linear Regression,1.6512,4.5315,2.1273,0.305,0.5721,0.6321,0.201,"(1, 9, 10)"
Ridge Regression,1.734,4.8117,2.1873,0.2702,0.593,0.6659,0.202,"(1, 9, 10)"
Bayesian Ridge,1.7422,4.8518,2.1962,0.2644,0.5952,0.6687,0.203,"(1, 9, 10)"
Decision Tree Regressor,1.8404,7.6246,2.7391,-0.1564,0.7201,0.61,0.207,"(1, 9, 10)"
Huber Regressor,1.8727,5.6827,2.3698,0.138,0.6289,0.6807,0.203,"(1, 9, 10)"
AdaBoost Regressor,1.8767,5.0276,2.2369,0.2383,0.6399,0.7813,0.249,"(1, 9, 10)"
Orthogonal Matching Pursuit,1.9707,5.8439,2.408,0.1203,0.6448,0.7727,0.201,"(1, 9, 10)"
Elastic Net,1.9771,5.8559,2.412,0.1189,0.65,0.7747,0.201,"(1, 9, 10)"
Lasso Regression,1.9865,5.9001,2.4213,0.1127,0.6549,0.773,0.206,"(1, 9, 10)"
Lasso Least Angle Regression,1.9865,5.9001,2.4213,0.1127,0.6549,0.773,0.203,"(1, 9, 10)"
K Neighbors Regressor,2.0981,6.9951,2.6346,-0.0493,0.6942,0.7892,0.202,"(1, 9, 10)"
Dummy Regressor,2.2548,6.8599,2.6119,-0.0281,0.7091,0.9436,0.201,"(1, 9, 10)"
Passive Aggressive Regressor,4.2923,34.1815,5.2693,-4.2944,1.0376,2.2291,0.198,"(1, 9, 10)"
Least Angle Regression,11897459.656,1475244389323175.5,16445788.9346,-191516226075591.84,8.6821,6637446.6801,0.205,"(1, 9, 10)"
Extra Trees Regressor,1.3833,3.7368,1.9208,0.444,0.5232,0.4569,0.271,"(1, 9, 12)"
Random Forest Regressor,1.484,4.1351,2.0202,0.3839,0.5534,0.4958,0.43,"(1, 9, 12)"
Light Gradient Boosting Machine,1.5018,4.3395,2.0715,0.3498,0.559,0.5147,0.246,"(1, 9, 12)"
Gradient Boosting Regressor,1.5595,4.4796,2.1042,0.336,0.5721,0.524,0.308,"(1, 9, 12)"
Decision Tree Regressor,1.7029,6.752,2.5761,-0.0192,0.6953,0.6087,0.204,"(1, 9, 12)"
Linear Regression,1.7558,5.1473,2.2643,0.2221,0.6248,0.6801,0.201,"(1, 9, 12)"
Ridge Regression,1.8546,5.4245,2.3249,0.1837,0.646,0.7068,0.203,"(1, 9, 12)"
AdaBoost Regressor,1.8643,5.3009,2.2927,0.2072,0.6623,0.7599,0.251,"(1, 9, 12)"
Huber Regressor,1.8997,5.9078,2.4209,0.1174,0.6519,0.6785,0.204,"(1, 9, 12)"
Bayesian Ridge,1.937,5.7231,2.3881,0.1393,0.6626,0.7494,0.204,"(1, 9, 12)"
Orthogonal Matching Pursuit,1.9607,5.8413,2.4119,0.1229,0.6643,0.769,0.203,"(1, 9, 12)"
Elastic Net,1.992,6.0078,2.447,0.0981,0.672,0.7718,0.2,"(1, 9, 12)"
Lasso Regression,1.9989,6.068,2.4587,0.0906,0.6771,0.7676,0.204,"(1, 9, 12)"
Lasso Least Angle Regression,1.9989,6.068,2.4587,0.0906,0.6771,0.7676,0.201,"(1, 9, 12)"
K Neighbors Regressor,2.0711,7.0697,2.6501,-0.06,0.7232,0.7666,0.202,"(1, 9, 12)"
Dummy Regressor,2.1748,6.8177,2.6047,-0.0187,0.7155,0.8919,0.204,"(1, 9, 12)"
Passive Aggressive Regressor,3.0198,14.2614,3.7579,-1.2074,0.9579,1.4282,0.203,"(1, 9, 12)"
Least Angle Regression,24835.2413,13615507358.986,37512.0709,-1755446402.5049,4.0836,13003.5245,0.206,"(1, 9, 12)"
Extra Trees Regressor,1.2347,2.9519,1.7126,0.5069,0.4987,0.4131,0.288,"(1, 9, 13)"
Random Forest Regressor,1.3338,3.3524,1.8268,0.4424,0.5276,0.4373,0.444,"(1, 9, 13)"
Light Gradient Boosting Machine,1.3424,3.2506,1.8007,0.4619,0.5293,0.4898,0.246,"(1, 9, 13)"
Gradient Boosting Regressor,1.3802,3.5431,1.8763,0.4125,0.535,0.4833,0.315,"(1, 9, 13)"
Linear Regression,1.6494,4.5744,2.1323,0.2373,0.5995,0.6382,0.207,"(1, 9, 13)"
Decision Tree Regressor,1.6766,6.0913,2.454,0.0036,0.6779,0.6132,0.208,"(1, 9, 13)"
AdaBoost Regressor,1.7418,4.6041,2.1397,0.2358,0.6341,0.6955,0.247,"(1, 9, 13)"
Ridge Regression,1.7546,4.9083,2.2098,0.1874,0.6241,0.6627,0.203,"(1, 9, 13)"
Bayesian Ridge,1.7964,5.1661,2.2675,0.148,0.6359,0.6809,0.203,"(1, 9, 13)"
Huber Regressor,1.8495,5.7441,2.3846,0.0684,0.6452,0.6514,0.21,"(1, 9, 13)"
Orthogonal Matching Pursuit,1.8686,5.5079,2.3372,0.1038,0.6482,0.7132,0.207,"(1, 9, 13)"
Elastic Net,1.8808,5.5558,2.347,0.0979,0.656,0.7114,0.203,"(1, 9, 13)"
Lasso Regression,1.8834,5.584,2.3527,0.0937,0.658,0.7066,0.207,"(1, 9, 13)"
Lasso Least Angle Regression,1.8834,5.584,2.3527,0.0937,0.658,0.7066,0.209,"(1, 9, 13)"
K Neighbors Regressor,2.047,6.7074,2.5761,-0.0852,0.7066,0.7726,0.206,"(1, 9, 13)"
Dummy Regressor,2.0893,6.3261,2.5067,-0.029,0.7028,0.8542,0.206,"(1, 9, 13)"
Passive Aggressive Regressor,3.7344,22.4894,4.5051,-3.0878,1.0543,2.1711,0.211,"(1, 9, 13)"
Least Angle Regression,37822.2974,18818299127.4508,51935.2696,-2751464935.2411,5.8909,18006.6859,0.21,"(1, 9, 13)"
Extra Trees Regressor,1.2859,3.3144,1.8057,0.5273,0.4964,0.4099,0.294,"(1, 9, 15)"
Light Gradient Boosting Machine,1.3354,3.4488,1.8425,0.506,0.5005,0.4477,0.249,"(1, 9, 15)"
Random Forest Regressor,1.341,3.4378,1.8371,0.5103,0.5084,0.4292,0.437,"(1, 9, 15)"
Gradient Boosting Regressor,1.4279,3.7451,1.9182,0.4629,0.5226,0.4677,0.318,"(1, 9, 15)"
Decision Tree Regressor,1.7546,7.1489,2.6431,-0.0163,0.7027,0.5646,0.212,"(1, 9, 15)"
Linear Regression,1.7611,5.172,2.2528,0.2608,0.6048,0.6717,0.213,"(1, 9, 15)"
AdaBoost Regressor,1.7711,4.7084,2.161,0.3225,0.6236,0.721,0.258,"(1, 9, 15)"
Ridge Regression,1.8079,5.3905,2.3026,0.2318,0.6205,0.6796,0.215,"(1, 9, 15)"
Huber Regressor,1.9008,6.0467,2.4438,0.1335,0.6408,0.6783,0.216,"(1, 9, 15)"
Bayesian Ridge,1.9098,5.7939,2.3942,0.1698,0.6452,0.7246,0.214,"(1, 9, 15)"
Orthogonal Matching Pursuit,1.9363,5.8308,2.4024,0.1635,0.646,0.745,0.22,"(1, 9, 15)"
Elastic Net,1.9528,5.9135,2.4206,0.1514,0.6493,0.7434,0.21,"(1, 9, 15)"
Lasso Regression,1.9619,5.9494,2.4279,0.1466,0.6515,0.7488,0.211,"(1, 9, 15)"
Lasso Least Angle Regression,1.9619,5.9494,2.4279,0.1466,0.6515,0.7488,0.209,"(1, 9, 15)"
K Neighbors Regressor,2.115,7.4559,2.7233,-0.077,0.712,0.781,0.21,"(1, 9, 15)"
Dummy Regressor,2.219,7.024,2.6441,-0.0136,0.7071,0.9131,0.216,"(1, 9, 15)"
Passive Aggressive Regressor,4.0468,26.2469,4.9333,-3.0501,1.0641,2.0389,0.215,"(1, 9, 15)"
Least Angle Regression,19502.9235,3514666750.2755,27443.5443,-496451168.605,4.8338,11067.0637,0.212,"(1, 9, 15)"
Extra Trees Regressor,1.2963,3.1324,1.7631,0.5048,0.4988,0.4251,0.307,"(1, 9, 16)"
Light Gradient Boosting Machine,1.3562,3.3741,1.8324,0.4602,0.5165,0.4576,0.25,"(1, 9, 16)"
Random Forest Regressor,1.3825,3.4344,1.8501,0.4535,0.5221,0.4559,0.442,"(1, 9, 16)"
Gradient Boosting Regressor,1.4015,3.5373,1.8755,0.4398,0.5273,0.461,0.322,"(1, 9, 16)"
Linear Regression,1.6495,4.5817,2.1381,0.2619,0.5856,0.6399,0.213,"(1, 9, 16)"
Ridge Regression,1.7087,4.7949,2.186,0.2359,0.6034,0.6467,0.213,"(1, 9, 16)"
AdaBoost Regressor,1.7571,4.5145,2.1195,0.286,0.6267,0.7009,0.262,"(1, 9, 16)"
Decision Tree Regressor,1.7725,7.0145,2.6242,-0.1316,0.7112,0.5987,0.216,"(1, 9, 16)"
Bayesian Ridge,1.7782,5.0183,2.2365,0.1997,0.6155,0.6765,0.216,"(1, 9, 16)"
Huber Regressor,1.8348,5.411,2.3222,0.1359,0.6309,0.6671,0.22,"(1, 9, 16)"
Orthogonal Matching Pursuit,1.8803,5.4512,2.3325,0.1277,0.6355,0.7176,0.212,"(1, 9, 16)"
Elastic Net,1.9023,5.5522,2.3544,0.1143,0.6475,0.7216,0.219,"(1, 9, 16)"
Lasso Regression,1.912,5.6152,2.3675,0.1058,0.6526,0.7208,0.213,"(1, 9, 16)"
Lasso Least Angle Regression,1.912,5.6152,2.3675,0.1058,0.6526,0.7208,0.216,"(1, 9, 16)"
K Neighbors Regressor,2.0422,6.6105,2.567,-0.059,0.6883,0.7866,0.214,"(1, 9, 16)"
Dummy Regressor,2.1163,6.4551,2.5315,-0.0109,0.6971,0.8613,0.218,"(1, 9, 16)"
Passive Aggressive Regressor,4.803,38.8269,5.8302,-5.3783,1.1177,2.6484,0.216,"(1, 9, 16)"
Least Angle Regression,13249.4235,1761775463.1353,17139.692,-249201827.9365,5.0556,6589.1367,0.215,"(1, 9, 16)"
Extra Trees Regressor,1.3803,3.5565,1.8763,0.4812,0.5015,0.4597,0.305,"(1, 9, 17)"
Light Gradient Boosting Machine,1.4329,3.742,1.9249,0.4528,0.5134,0.488,0.253,"(1, 9, 17)"
Random Forest Regressor,1.4738,3.9188,1.9717,0.4268,0.5291,0.5007,0.443,"(1, 9, 17)"
Gradient Boosting Regressor,1.505,4.1498,2.0295,0.3937,0.5314,0.5156,0.324,"(1, 9, 17)"
Linear Regression,1.7428,5.1008,2.2506,0.2501,0.5986,0.6697,0.218,"(1, 9, 17)"
Ridge Regression,1.8384,5.4402,2.3281,0.198,0.6214,0.6876,0.217,"(1, 9, 17)"
Decision Tree Regressor,1.8933,7.9255,2.7904,-0.1736,0.7115,0.6171,0.219,"(1, 9, 17)"
Huber Regressor,1.9218,5.9686,2.4394,0.1201,0.6385,0.6744,0.22,"(1, 9, 17)"
Bayesian Ridge,1.9275,5.7535,2.394,0.1537,0.6435,0.7278,0.219,"(1, 9, 17)"
Orthogonal Matching Pursuit,1.9441,5.792,2.4023,0.1475,0.6445,0.7402,0.215,"(1, 9, 17)"
AdaBoost Regressor,1.9504,5.4439,2.328,0.202,0.6611,0.8107,0.264,"(1, 9, 17)"
Elastic Net,1.9846,6.0079,2.4463,0.1186,0.6571,0.7482,0.214,"(1, 9, 17)"
Lasso Regression,1.995,6.0669,2.4586,0.1099,0.6626,0.7488,0.22,"(1, 9, 17)"
Lasso Least Angle Regression,1.995,6.0669,2.4586,0.1099,0.6626,0.7488,0.213,"(1, 9, 17)"
K Neighbors Regressor,2.1107,7.1396,2.6631,-0.0522,0.7044,0.7965,0.218,"(1, 9, 17)"
Dummy Regressor,2.2054,6.862,2.6158,-0.0044,0.7064,0.8966,0.22,"(1, 9, 17)"
Passive Aggressive Regressor,3.2797,18.73,4.1358,-1.845,0.9508,1.5062,0.217,"(1, 9, 17)"
Least Angle Regression,305.2615,955075.729,401.8523,-148625.5058,2.3018,126.6063,0.219,"(1, 9, 17)"
Extra Trees Regressor,1.5194,4.0844,2.0014,0.4762,0.5562,0.4504,0.295,"(1, 10, 12)"
Light Gradient Boosting Machine,1.6085,4.4777,2.1012,0.4228,0.5748,0.4909,0.255,"(1, 10, 12)"
Random Forest Regressor,1.6465,4.6263,2.1387,0.4039,0.5888,0.4908,0.446,"(1, 10, 12)"
Gradient Boosting Regressor,1.6808,4.803,2.1813,0.3793,0.5992,0.5258,0.327,"(1, 10, 12)"
Ridge Regression,1.9775,6.0133,2.4453,0.2249,0.6665,0.6903,0.218,"(1, 10, 12)"
Linear Regression,1.9817,6.2557,2.4928,0.191,0.6709,0.7116,0.221,"(1, 10, 12)"
Decision Tree Regressor,2.0002,8.3737,2.8754,-0.0773,0.7641,0.6694,0.225,"(1, 10, 12)"
Bayesian Ridge,2.013,6.1507,2.4728,0.2082,0.6754,0.7092,0.22,"(1, 10, 12)"
Huber Regressor,2.0966,6.8028,2.6001,0.1229,0.6953,0.7166,0.23,"(1, 10, 12)"
AdaBoost Regressor,2.159,6.4625,2.538,0.166,0.724,0.8197,0.267,"(1, 10, 12)"
Orthogonal Matching Pursuit,2.1829,6.848,2.6127,0.1168,0.7043,0.7903,0.216,"(1, 10, 12)"
Elastic Net,2.2512,7.137,2.6682,0.0806,0.719,0.8153,0.22,"(1, 10, 12)"
Lasso Regression,2.2739,7.2129,2.6827,0.0705,0.7252,0.8256,0.222,"(1, 10, 12)"
Lasso Least Angle Regression,2.2739,7.2129,2.6827,0.0705,0.7252,0.8256,0.218,"(1, 10, 12)"
K Neighbors Regressor,2.3679,8.5876,2.9235,-0.1081,0.7777,0.8422,0.221,"(1, 10, 12)"
Dummy Regressor,2.4328,7.9032,2.8091,-0.019,0.7586,0.9374,0.221,"(1, 10, 12)"
Passive Aggressive Regressor,2.9562,12.7258,3.5099,-0.6607,0.8757,1.3414,0.219,"(1, 10, 12)"
Least Angle Regression,119932744.5272,2.939732144977527e+17,171499600.2182,-3.613067421348298e+16,7.1592,57296369.6834,0.219,"(1, 10, 12)"
Extra Trees Regressor,1.3875,3.5313,1.8744,0.4636,0.5301,0.4445,0.313,"(1, 10, 13)"
Light Gradient Boosting Machine,1.4838,3.9378,1.9826,0.3985,0.5531,0.5037,0.264,"(1, 10, 13)"
Random Forest Regressor,1.509,3.9583,1.9833,0.3996,0.5579,0.4983,0.464,"(1, 10, 13)"
Gradient Boosting Regressor,1.5619,4.1821,2.0394,0.3668,0.5663,0.5266,0.342,"(1, 10, 13)"
Linear Regression,1.8235,5.4704,2.3272,0.1716,0.6411,0.6743,0.223,"(1, 10, 13)"
Ridge Regression,1.8495,5.432,2.3216,0.1817,0.6409,0.6709,0.226,"(1, 10, 13)"
Bayesian Ridge,1.8775,5.5358,2.343,0.168,0.6497,0.6823,0.219,"(1, 10, 13)"
Decision Tree Regressor,1.9034,7.7867,2.7749,-0.1947,0.7411,0.6481,0.23,"(1, 10, 13)"
Huber Regressor,1.9543,6.1006,2.4576,0.0856,0.668,0.6842,0.226,"(1, 10, 13)"
AdaBoost Regressor,1.9987,5.5585,2.3538,0.1582,0.6851,0.8069,0.263,"(1, 10, 13)"
Orthogonal Matching Pursuit,2.0173,6.201,2.4792,0.0715,0.6786,0.748,0.222,"(1, 10, 13)"
Elastic Net,2.0268,6.1431,2.4685,0.0792,0.682,0.7566,0.225,"(1, 10, 13)"
Lasso Regression,2.0437,6.1896,2.4785,0.0717,0.687,0.7653,0.224,"(1, 10, 13)"
Lasso Least Angle Regression,2.0437,6.1896,2.4785,0.0717,0.687,0.7653,0.223,"(1, 10, 13)"
K Neighbors Regressor,2.1685,7.2347,2.6837,-0.0975,0.7298,0.78,0.216,"(1, 10, 13)"
Dummy Regressor,2.2267,6.8282,2.6039,-0.0213,0.7202,0.8883,0.227,"(1, 10, 13)"
Passive Aggressive Regressor,3.0209,16.9999,3.8418,-1.6333,0.9244,1.0252,0.227,"(1, 10, 13)"
Least Angle Regression,20723.6729,3659571985.625,28523.0071,-434040292.4182,5.6901,12466.1527,0.227,"(1, 10, 13)"
Extra Trees Regressor,1.3511,3.4384,1.8457,0.4933,0.5194,0.4171,0.302,"(1, 10, 15)"
Random Forest Regressor,1.4572,3.8784,1.9568,0.4319,0.5434,0.444,0.459,"(1, 10, 15)"
Light Gradient Boosting Machine,1.4631,3.955,1.9785,0.4162,0.5471,0.4693,0.264,"(1, 10, 15)"
Gradient Boosting Regressor,1.5511,4.3206,2.068,0.3649,0.563,0.4774,0.336,"(1, 10, 15)"
Decision Tree Regressor,1.7609,6.8992,2.6192,-0.0202,0.7149,0.5486,0.226,"(1, 10, 15)"
Linear Regression,1.7923,5.4138,2.3182,0.1952,0.6224,0.6653,0.225,"(1, 10, 15)"
Ridge Regression,1.8087,5.2198,2.2771,0.224,0.6232,0.66,0.225,"(1, 10, 15)"
Bayesian Ridge,1.8796,5.4518,2.3295,0.1902,0.6379,0.6969,0.227,"(1, 10, 15)"
AdaBoost Regressor,1.9047,5.1755,2.2662,0.2399,0.6553,0.7357,0.267,"(1, 10, 15)"
Huber Regressor,1.9215,5.8667,2.4143,0.1274,0.646,0.6955,0.229,"(1, 10, 15)"
Orthogonal Matching Pursuit,1.9936,6.0274,2.4497,0.1089,0.6662,0.7482,0.229,"(1, 10, 15)"
Elastic Net,2.0144,6.0619,2.4542,0.1092,0.6689,0.7597,0.227,"(1, 10, 15)"
Lasso Regression,2.0337,6.1141,2.4646,0.1025,0.6743,0.7703,0.228,"(1, 10, 15)"
Lasso Least Angle Regression,2.0337,6.1141,2.4646,0.1025,0.6743,0.7703,0.232,"(1, 10, 15)"
K Neighbors Regressor,2.0899,6.8856,2.619,-0.0206,0.7023,0.7886,0.234,"(1, 10, 15)"
Dummy Regressor,2.2628,6.9742,2.6324,-0.0204,0.718,0.924,0.232,"(1, 10, 15)"
Passive Aggressive Regressor,2.9299,14.6054,3.701,-1.125,0.8752,1.0069,0.225,"(1, 10, 15)"
Least Angle Regression,619106.8176,6741451481938.319,937998.0919,-1182078518698.0522,7.599,369581.6595,0.227,"(1, 10, 15)"
Extra Trees Regressor,1.3058,3.0303,1.7295,0.5516,0.4984,0.4057,0.314,"(1, 10, 16)"
Gradient Boosting Regressor,1.4501,3.6091,1.8887,0.4647,0.5296,0.4731,0.343,"(1, 10, 16)"
Random Forest Regressor,1.4618,3.6227,1.8914,0.4645,0.5385,0.4678,0.463,"(1, 10, 16)"
Light Gradient Boosting Machine,1.4697,3.7436,1.9282,0.4388,0.5296,0.4828,0.266,"(1, 10, 16)"
Linear Regression,1.7155,4.6953,2.1514,0.2971,0.5912,0.627,0.229,"(1, 10, 16)"
Ridge Regression,1.7818,4.8842,2.1991,0.2699,0.6093,0.6365,0.238,"(1, 10, 16)"
Decision Tree Regressor,1.7967,7.0656,2.6528,-0.0695,0.7362,0.5965,0.229,"(1, 10, 16)"
Bayesian Ridge,1.8064,4.9933,2.2227,0.2553,0.615,0.6491,0.229,"(1, 10, 16)"
AdaBoost Regressor,1.8729,4.9352,2.2127,0.2658,0.6422,0.695,0.278,"(1, 10, 16)"
Huber Regressor,1.8825,5.4873,2.3281,0.1825,0.6308,0.6702,0.23,"(1, 10, 16)"
Orthogonal Matching Pursuit,1.9902,5.9373,2.4192,0.1234,0.6544,0.729,0.227,"(1, 10, 16)"
Elastic Net,2.0162,5.9613,2.4273,0.118,0.663,0.7431,0.231,"(1, 10, 16)"
Lasso Regression,2.0351,6.0382,2.4443,0.1061,0.6697,0.7491,0.23,"(1, 10, 16)"
Lasso Least Angle Regression,2.0351,6.0382,2.4443,0.1061,0.6697,0.7491,0.229,"(1, 10, 16)"
K Neighbors Regressor,2.0698,6.7873,2.5909,-0.0071,0.6945,0.7329,0.231,"(1, 10, 16)"
Dummy Regressor,2.2563,6.8591,2.6093,-0.0193,0.7144,0.897,0.234,"(1, 10, 16)"
Passive Aggressive Regressor,5.0915,45.7089,6.3474,-6.3592,1.1489,2.6504,0.232,"(1, 10, 16)"
Least Angle Regression,73401.9512,115530708478.7417,115060.9063,-13117190597.9668,5.5689,39335.9446,0.233,"(1, 10, 16)"
Extra Trees Regressor,1.4745,3.8793,1.958,0.4805,0.5267,0.461,0.306,"(1, 10, 17)"
Random Forest Regressor,1.5773,4.2644,2.0552,0.4278,0.554,0.4966,0.462,"(1, 10, 17)"
Light Gradient Boosting Machine,1.6189,4.6091,2.1328,0.3788,0.5626,0.53,0.268,"(1, 10, 17)"
Gradient Boosting Regressor,1.6674,4.7676,2.1715,0.3617,0.5763,0.5296,0.338,"(1, 10, 17)"
Linear Regression,1.8432,5.7112,2.3551,0.2482,0.6245,0.6436,0.23,"(1, 10, 17)"
Ridge Regression,1.928,5.7198,2.3715,0.2429,0.6375,0.7021,0.234,"(1, 10, 17)"
Bayesian Ridge,1.9858,5.9156,2.4142,0.2163,0.651,0.7288,0.235,"(1, 10, 17)"
Decision Tree Regressor,2.0319,8.492,2.9005,-0.1644,0.7478,0.6819,0.236,"(1, 10, 17)"
Huber Regressor,2.0411,6.2771,2.4881,0.1684,0.6589,0.7302,0.234,"(1, 10, 17)"
AdaBoost Regressor,2.0578,5.8873,2.4211,0.2094,0.68,0.7931,0.283,"(1, 10, 17)"
Orthogonal Matching Pursuit,2.153,6.6948,2.5763,0.1091,0.6874,0.8045,0.232,"(1, 10, 17)"
Elastic Net,2.1654,6.751,2.5883,0.1007,0.692,0.7957,0.232,"(1, 10, 17)"
Lasso Regression,2.1876,6.8262,2.6027,0.0913,0.6984,0.8035,0.237,"(1, 10, 17)"
