Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Lasso Regression,3.5849,17.2148,4.1471,-0.0068,0.3346,0.348,0.463,"('subject_1', 'subject_15', 'subject_3')"
Huber Regressor,3.5883,17.3827,4.1663,-0.0167,0.3371,0.3522,0.451,"('subject_1', 'subject_15', 'subject_3')"
Bayesian Ridge,3.5887,17.2466,4.151,-0.0088,0.3349,0.3483,0.513,"('subject_1', 'subject_15', 'subject_3')"
Dummy Regressor,3.5948,17.2828,4.1552,-0.0106,0.335,0.3486,0.517,"('subject_1', 'subject_15', 'subject_3')"
Orthogonal Matching Pursuit,3.602,17.3568,4.1643,-0.0153,0.3356,0.3492,0.487,"('subject_1', 'subject_15', 'subject_3')"
K Neighbors Regressor,3.6931,19.0684,4.3646,-0.1173,0.3492,0.3597,0.477,"('subject_1', 'subject_15', 'subject_3')"
Least Angle Regression,3.7378,19.9666,4.4055,-0.1629,0.3578,0.3581,0.454,"('subject_1', 'subject_15', 'subject_3')"
Decision Tree Regressor,4.419,30.5014,5.5159,-0.7898,0.4301,0.3956,0.48,"('subject_1', 'subject_15', 'subject_3')"
Passive Aggressive Regressor,4.9302,36.6767,5.8899,-1.1711,0.4417,0.5141,0.481,"('subject_1', 'subject_15', 'subject_3')"
Random Forest Regressor,3.3745,15.589,3.9445,0.1291,0.3072,0.3105,0.689,"('subject_1', 'subject_15', 'subject_33')"
Light Gradient Boosting Machine,3.4663,17.1634,4.1394,0.039,0.3207,0.316,0.454,"('subject_1', 'subject_15', 'subject_33')"
Gradient Boosting Regressor,3.4971,16.4138,4.0483,0.0818,0.3178,0.3251,0.479,"('subject_1', 'subject_15', 'subject_33')"
Extra Trees Regressor,3.5179,17.2114,4.145,0.0388,0.3229,0.3243,0.639,"('subject_1', 'subject_15', 'subject_33')"
AdaBoost Regressor,3.5484,16.5961,4.071,0.0732,0.3235,0.3341,0.539,"('subject_1', 'subject_15', 'subject_33')"
Linear Regression,3.6436,17.7701,4.2132,0.0077,0.3377,0.3512,0.447,"('subject_1', 'subject_15', 'subject_33')"
Least Angle Regression,3.6437,17.7717,4.2134,0.0076,0.3377,0.3512,0.508,"('subject_1', 'subject_15', 'subject_33')"
Ridge Regression,3.6444,17.7676,4.2129,0.0078,0.3379,0.3514,0.487,"('subject_1', 'subject_15', 'subject_33')"
Elastic Net,3.6478,17.8907,4.2276,0.0011,0.3404,0.3542,0.499,"('subject_1', 'subject_15', 'subject_33')"
Orthogonal Matching Pursuit,3.6481,17.9465,4.2339,-0.0019,0.3406,0.354,0.484,"('subject_1', 'subject_15', 'subject_33')"
Lasso Regression,3.6533,17.9155,4.2307,-0.0004,0.3405,0.3546,0.499,"('subject_1', 'subject_15', 'subject_33')"
Lasso Least Angle Regression,3.6533,17.9155,4.2307,-0.0004,0.3405,0.3546,0.488,"('subject_1', 'subject_15', 'subject_33')"
Bayesian Ridge,3.6573,17.9672,4.2366,-0.0032,0.341,0.3551,0.525,"('subject_1', 'subject_15', 'subject_33')"
Huber Regressor,3.6603,18.0997,4.2514,-0.0103,0.3436,0.36,0.521,"('subject_1', 'subject_15', 'subject_33')"
Dummy Regressor,3.6624,17.9891,4.2395,-0.0046,0.3409,0.355,0.441,"('subject_1', 'subject_15', 'subject_33')"
K Neighbors Regressor,3.7528,19.7844,4.4425,-0.1062,0.3526,0.3612,0.483,"('subject_1', 'subject_15', 'subject_33')"
Decision Tree Regressor,4.2957,30.0801,5.4734,-0.6817,0.4252,0.38,0.513,"('subject_1', 'subject_15', 'subject_33')"
Passive Aggressive Regressor,5.1191,40.959,6.1736,-1.2913,0.524,0.4743,0.496,"('subject_1', 'subject_15', 'subject_33')"
Random Forest Regressor,3.3828,15.9265,3.9861,0.063,0.311,0.311,0.54,"('subject_1', 'subject_15', 'subject_5')"
Light Gradient Boosting Machine,3.3938,16.7192,4.0819,0.0153,0.3167,0.3103,0.439,"('subject_1', 'subject_15', 'subject_5')"
Gradient Boosting Regressor,3.4042,15.681,3.9566,0.0787,0.3098,0.315,0.453,"('subject_1', 'subject_15', 'subject_5')"
AdaBoost Regressor,3.4782,16.1174,4.0114,0.0539,0.3196,0.3287,0.442,"('subject_1', 'subject_15', 'subject_5')"
Extra Trees Regressor,3.5066,16.9274,4.1107,0.0002,0.3196,0.3215,0.549,"('subject_1', 'subject_15', 'subject_5')"
Linear Regression,3.532,16.8201,4.0993,0.0118,0.3285,0.3388,0.456,"('subject_1', 'subject_15', 'subject_5')"
Ridge Regression,3.5322,16.818,4.099,0.012,0.3286,0.339,0.504,"('subject_1', 'subject_15', 'subject_5')"
Orthogonal Matching Pursuit,3.5425,17.0728,4.1296,-0.0016,0.3322,0.3427,0.521,"('subject_1', 'subject_15', 'subject_5')"
Least Angle Regression,3.5435,16.9358,4.1135,0.0051,0.3294,0.3393,0.486,"('subject_1', 'subject_15', 'subject_5')"
Huber Regressor,3.5516,17.2,4.1453,-0.01,0.3341,0.3466,0.518,"('subject_1', 'subject_15', 'subject_5')"
Elastic Net,3.5536,17.1287,4.136,-0.0042,0.3325,0.3435,0.472,"('subject_1', 'subject_15', 'subject_5')"
Bayesian Ridge,3.5585,17.1607,4.1398,-0.0061,0.3326,0.3437,0.494,"('subject_1', 'subject_15', 'subject_5')"
Lasso Regression,3.5596,17.1452,4.1376,-0.0047,0.3325,0.3438,0.482,"('subject_1', 'subject_15', 'subject_5')"
Lasso Least Angle Regression,3.5596,17.1452,4.1376,-0.0047,0.3325,0.3438,0.441,"('subject_1', 'subject_15', 'subject_5')"
Dummy Regressor,3.57,17.2173,4.1457,-0.0083,0.3328,0.3444,0.513,"('subject_1', 'subject_15', 'subject_5')"
K Neighbors Regressor,3.7064,19.4736,4.4101,-0.1477,0.3504,0.3572,0.477,"('subject_1', 'subject_15', 'subject_5')"
Decision Tree Regressor,4.4362,30.8441,5.5478,-0.8156,0.4322,0.3982,0.489,"('subject_1', 'subject_15', 'subject_5')"
Passive Aggressive Regressor,5.472,44.8487,6.6573,-1.6288,0.5327,0.5057,0.502,"('subject_1', 'subject_15', 'subject_5')"
Random Forest Regressor,3.4036,16.1823,4.0198,0.0721,0.3147,0.3151,0.526,"('subject_1', 'subject_15', 'subject_6')"
Gradient Boosting Regressor,3.4147,15.8585,3.9782,0.0917,0.3151,0.3204,0.535,"('subject_1', 'subject_15', 'subject_6')"
Light Gradient Boosting Machine,3.4458,17.2126,4.1446,0.0126,0.3225,0.3161,0.513,"('subject_1', 'subject_15', 'subject_6')"
AdaBoost Regressor,3.5077,16.3875,4.0455,0.061,0.3246,0.3348,0.507,"('subject_1', 'subject_15', 'subject_6')"
Extra Trees Regressor,3.5194,17.1002,4.1336,0.0175,0.3225,0.3251,0.596,"('subject_1', 'subject_15', 'subject_6')"
Linear Regression,3.5526,17.0778,4.1299,0.0212,0.3331,0.3443,0.434,"('subject_1', 'subject_15', 'subject_6')"
Ridge Regression,3.5538,17.0746,4.1295,0.0214,0.3332,0.3446,0.439,"('subject_1', 'subject_15', 'subject_6')"
Least Angle Regression,3.5561,17.1433,4.1379,0.0174,0.3336,0.3446,0.453,"('subject_1', 'subject_15', 'subject_6')"
Orthogonal Matching Pursuit,3.5907,17.4204,4.1712,0.0019,0.3385,0.3516,0.509,"('subject_1', 'subject_15', 'subject_6')"
Huber Regressor,3.6004,17.5977,4.192,-0.0089,0.3409,0.3558,0.423,"('subject_1', 'subject_15', 'subject_6')"
Bayesian Ridge,3.6071,17.5004,4.1806,-0.0024,0.3389,0.3526,0.482,"('subject_1', 'subject_15', 'subject_6')"
Lasso Regression,3.6089,17.5084,4.1813,-0.0025,0.3391,0.353,0.443,"('subject_1', 'subject_15', 'subject_6')"
Lasso Least Angle Regression,3.6089,17.5084,4.1813,-0.0025,0.3391,0.353,0.485,"('subject_1', 'subject_15', 'subject_6')"
Elastic Net,3.609,17.5242,4.1834,-0.0037,0.3392,0.353,0.494,"('subject_1', 'subject_15', 'subject_6')"
Dummy Regressor,3.6152,17.5518,4.186,-0.0045,0.3393,0.3534,0.477,"('subject_1', 'subject_15', 'subject_6')"
Passive Aggressive Regressor,3.7625,20.0175,4.4495,-0.1428,0.359,0.3761,0.45,"('subject_1', 'subject_15', 'subject_6')"
K Neighbors Regressor,3.796,20.1262,4.4837,-0.1551,0.3576,0.3697,0.431,"('subject_1', 'subject_15', 'subject_6')"
Decision Tree Regressor,4.4134,30.842,5.5432,-0.7699,0.4301,0.3945,0.413,"('subject_1', 'subject_15', 'subject_6')"
Random Forest Regressor,3.5163,16.5894,4.0662,0.0697,0.317,0.3242,0.586,"('subject_1', 'subject_15', 'subject_7')"
Gradient Boosting Regressor,3.5645,16.7825,4.0912,0.058,0.3204,0.3301,0.606,"('subject_1', 'subject_15', 'subject_7')"
Light Gradient Boosting Machine,3.592,18.0648,4.2455,-0.0158,0.3277,0.3269,0.493,"('subject_1', 'subject_15', 'subject_7')"
Extra Trees Regressor,3.6051,17.9464,4.231,-0.0097,0.3279,0.3319,0.509,"('subject_1', 'subject_15', 'subject_7')"
AdaBoost Regressor,3.6103,16.9039,4.1054,0.0522,0.3247,0.3378,0.451,"('subject_1', 'subject_15', 'subject_7')"
Least Angle Regression,3.6385,17.6031,4.1901,0.0115,0.3334,0.3468,0.478,"('subject_1', 'subject_15', 'subject_7')"
Linear Regression,3.6395,17.5827,4.1874,0.0131,0.3335,0.3472,0.544,"('subject_1', 'subject_15', 'subject_7')"
Ridge Regression,3.6401,17.5801,4.1872,0.0132,0.3336,0.3475,0.483,"('subject_1', 'subject_15', 'subject_7')"
Bayesian Ridge,3.6558,17.7873,4.2114,0.0026,0.3369,0.3515,0.403,"('subject_1', 'subject_15', 'subject_7')"
Elastic Net,3.6561,17.7725,4.2095,0.0037,0.3369,0.3518,0.481,"('subject_1', 'subject_15', 'subject_7')"
Huber Regressor,3.6624,18.0232,4.2397,-0.012,0.3399,0.356,0.471,"('subject_1', 'subject_15', 'subject_7')"
Lasso Regression,3.666,17.8207,4.2154,0.0008,0.3374,0.3527,0.485,"('subject_1', 'subject_15', 'subject_7')"
Lasso Least Angle Regression,3.666,17.8207,4.2154,0.0008,0.3374,0.3527,0.415,"('subject_1', 'subject_15', 'subject_7')"
Dummy Regressor,3.6785,17.9662,4.2329,-0.0076,0.3384,0.3536,0.505,"('subject_1', 'subject_15', 'subject_7')"
Orthogonal Matching Pursuit,3.6866,18.044,4.2418,-0.0118,0.339,0.3544,0.454,"('subject_1', 'subject_15', 'subject_7')"
K Neighbors Regressor,3.7349,19.5924,4.4214,-0.1024,0.3491,0.3579,0.445,"('subject_1', 'subject_15', 'subject_7')"
Passive Aggressive Regressor,4.3599,30.2832,5.376,-0.6634,0.4147,0.469,0.419,"('subject_1', 'subject_15', 'subject_7')"
Decision Tree Regressor,4.496,31.9802,5.6467,-0.8043,0.4375,0.3999,0.44,"('subject_1', 'subject_15', 'subject_7')"
Random Forest Regressor,3.4408,16.2791,4.0325,0.0782,0.3146,0.3175,0.692,"('subject_1', 'subject_15', 'subject_8')"
Light Gradient Boosting Machine,3.4974,17.7107,4.205,-0.0029,0.326,0.3206,0.42,"('subject_1', 'subject_15', 'subject_8')"
Gradient Boosting Regressor,3.4986,16.4411,4.0535,0.0686,0.3189,0.3261,0.497,"('subject_1', 'subject_15', 'subject_8')"
Extra Trees Regressor,3.5489,17.2725,4.1526,0.0217,0.3237,0.3273,0.576,"('subject_1', 'subject_15', 'subject_8')"
AdaBoost Regressor,3.5895,16.7653,4.092,0.0525,0.325,0.3379,0.498,"('subject_1', 'subject_15', 'subject_8')"
Least Angle Regression,3.6112,17.4978,4.1795,0.0109,0.3337,0.3453,0.466,"('subject_1', 'subject_15', 'subject_8')"
Linear Regression,3.6114,17.379,4.1656,0.0174,0.3331,0.3459,0.407,"('subject_1', 'subject_15', 'subject_8')"
Ridge Regression,3.6133,17.3787,4.1657,0.0174,0.3332,0.3463,0.465,"('subject_1', 'subject_15', 'subject_8')"
Elastic Net,3.6382,17.6809,4.2026,0.0005,0.3374,0.3513,0.476,"('subject_1', 'subject_15', 'subject_8')"
Huber Regressor,3.6395,17.8044,4.2173,-0.0079,0.3395,0.3552,0.513,"('subject_1', 'subject_15', 'subject_8')"
Dummy Regressor,3.6424,17.7363,4.2089,-0.0023,0.3376,0.3514,0.428,"('subject_1', 'subject_15', 'subject_8')"
Lasso Regression,3.6433,17.7269,4.2079,-0.0019,0.3377,0.3516,0.49,"('subject_1', 'subject_15', 'subject_8')"
Lasso Least Angle Regression,3.6433,17.7269,4.2079,-0.0019,0.3377,0.3516,0.458,"('subject_1', 'subject_15', 'subject_8')"
Bayesian Ridge,3.6462,17.743,4.2099,-0.0029,0.3379,0.352,0.496,"('subject_1', 'subject_15', 'subject_8')"
Orthogonal Matching Pursuit,3.6502,17.7561,4.2115,-0.0037,0.3379,0.352,0.479,"('subject_1', 'subject_15', 'subject_8')"
K Neighbors Regressor,3.7348,19.5327,4.4143,-0.1054,0.3506,0.3602,0.496,"('subject_1', 'subject_15', 'subject_8')"
Decision Tree Regressor,4.3984,30.6651,5.5313,-0.7368,0.4298,0.3957,0.491,"('subject_1', 'subject_15', 'subject_8')"
Passive Aggressive Regressor,5.163,40.3588,6.2876,-1.3006,0.4771,0.5104,0.502,"('subject_1', 'subject_15', 'subject_8')"
Random Forest Regressor,3.4567,16.21,4.0199,0.0768,0.3152,0.3198,0.538,"('subject_1', 'subject_15', 'subject_9')"
Gradient Boosting Regressor,3.505,16.4349,4.0499,0.0646,0.3182,0.3263,0.506,"('subject_1', 'subject_15', 'subject_9')"
Light Gradient Boosting Machine,3.5126,17.5002,4.1703,0.0053,0.3252,0.3224,0.545,"('subject_1', 'subject_15', 'subject_9')"
Extra Trees Regressor,3.5389,17.386,4.1638,0.0103,0.3247,0.327,0.582,"('subject_1', 'subject_15', 'subject_9')"
AdaBoost Regressor,3.5841,16.8183,4.099,0.0428,0.3274,0.3403,0.441,"('subject_1', 'subject_15', 'subject_9')"
Least Angle Regression,3.6267,17.6584,4.2008,-0.0045,0.3366,0.3491,0.483,"('subject_1', 'subject_15', 'subject_9')"
Linear Regression,3.6285,17.5481,4.1878,0.0017,0.3359,0.3494,0.484,"('subject_1', 'subject_15', 'subject_9')"
Ridge Regression,3.6297,17.5445,4.1874,0.0019,0.336,0.3497,0.52,"('subject_1', 'subject_15', 'subject_9')"
Orthogonal Matching Pursuit,3.6514,17.7216,4.2078,-0.0076,0.339,0.3543,0.489,"('subject_1', 'subject_15', 'subject_9')"
Elastic Net,3.6552,17.7121,4.2069,-0.0072,0.3388,0.3544,0.466,"('subject_1', 'subject_15', 'subject_9')"
Lasso Regression,3.6619,17.7477,4.2111,-0.0092,0.339,0.3547,0.483,"('subject_1', 'subject_15', 'subject_9')"
Lasso Least Angle Regression,3.6619,17.7477,4.2111,-0.0092,0.339,0.3547,0.506,"('subject_1', 'subject_15', 'subject_9')"
Bayesian Ridge,3.6638,17.7732,4.2142,-0.0107,0.3392,0.355,0.429,"('subject_1', 'subject_15', 'subject_9')"
Dummy Regressor,3.6655,17.7639,4.2131,-0.0102,0.339,0.3548,0.497,"('subject_1', 'subject_15', 'subject_9')"
Huber Regressor,3.6695,18.0186,4.2435,-0.0251,0.3425,0.3594,0.454,"('subject_1', 'subject_15', 'subject_9')"
K Neighbors Regressor,3.7771,19.8137,4.4479,-0.1278,0.3536,0.364,0.415,"('subject_1', 'subject_15', 'subject_9')"
Passive Aggressive Regressor,4.3396,29.2749,5.3385,-0.669,0.437,0.4583,0.394,"('subject_1', 'subject_15', 'subject_9')"
Decision Tree Regressor,4.3651,30.3794,5.5018,-0.7337,0.4258,0.39,0.452,"('subject_1', 'subject_15', 'subject_9')"
Random Forest Regressor,3.44,16.0484,4.0039,0.0732,0.3118,0.3169,0.677,"('subject_1', 'subject_16', 'subject_17')"
Light Gradient Boosting Machine,3.4794,17.3665,4.1649,-0.0033,0.3214,0.3174,0.532,"('subject_1', 'subject_16', 'subject_17')"
Extra Trees Regressor,3.5319,17.0769,4.129,0.0138,0.3208,0.3253,0.627,"('subject_1', 'subject_16', 'subject_17')"
Gradient Boosting Regressor,3.5394,16.7097,4.0855,0.0346,0.3206,0.3299,0.541,"('subject_1', 'subject_16', 'subject_17')"
AdaBoost Regressor,3.5537,16.6789,4.0828,0.0362,0.3246,0.3364,0.541,"('subject_1', 'subject_16', 'subject_17')"
Ridge Regression,3.5997,17.3065,4.1582,0.0004,0.3324,0.3449,0.434,"('subject_1', 'subject_16', 'subject_17')"
Linear Regression,3.5998,17.3082,4.1584,0.0003,0.3323,0.3447,0.419,"('subject_1', 'subject_16', 'subject_17')"
Least Angle Regression,3.6043,17.3926,4.168,-0.0044,0.3326,0.3441,0.421,"('subject_1', 'subject_16', 'subject_17')"
Elastic Net,3.6085,17.4667,4.1782,-0.0092,0.3348,0.3475,0.415,"('subject_1', 'subject_16', 'subject_17')"
Orthogonal Matching Pursuit,3.6102,17.4949,4.1817,-0.011,0.335,0.3475,0.408,"('subject_1', 'subject_16', 'subject_17')"
Dummy Regressor,3.6113,17.4604,4.1775,-0.0089,0.3345,0.3473,0.483,"('subject_1', 'subject_16', 'subject_17')"
Lasso Regression,3.6146,17.5001,4.1822,-0.0112,0.3349,0.3478,0.488,"('subject_1', 'subject_16', 'subject_17')"
Lasso Least Angle Regression,3.6146,17.5001,4.1822,-0.0112,0.3349,0.3478,0.432,"('subject_1', 'subject_16', 'subject_17')"
Huber Regressor,3.6209,17.7047,4.2053,-0.0226,0.3382,0.3528,0.476,"('subject_1', 'subject_16', 'subject_17')"
Bayesian Ridge,3.6227,17.571,4.1906,-0.0151,0.3356,0.3488,0.408,"('subject_1', 'subject_16', 'subject_17')"
K Neighbors Regressor,3.731,19.438,4.4055,-0.1247,0.3486,0.3576,0.493,"('subject_1', 'subject_16', 'subject_17')"
Passive Aggressive Regressor,4.3639,29.8896,5.4261,-0.7218,0.4246,0.4867,0.446,"('subject_1', 'subject_16', 'subject_17')"
Decision Tree Regressor,4.5124,31.6146,5.6189,-0.8263,0.4329,0.399,0.535,"('subject_1', 'subject_16', 'subject_17')"
Random Forest Regressor,3.4741,16.42,4.048,0.0527,0.3155,0.3202,0.703,"('subject_1', 'subject_16', 'subject_18')"
Gradient Boosting Regressor,3.4927,16.3293,4.0356,0.0596,0.3168,0.3255,0.514,"('subject_1', 'subject_16', 'subject_18')"
Light Gradient Boosting Machine,3.5147,17.7205,4.2052,-0.0221,0.3251,0.3204,0.431,"('subject_1', 'subject_16', 'subject_18')"
AdaBoost Regressor,3.5346,16.4033,4.0447,0.0564,0.3219,0.3345,0.508,"('subject_1', 'subject_16', 'subject_18')"
Extra Trees Regressor,3.5635,17.3918,4.1643,-0.0021,0.3228,0.3276,0.606,"('subject_1', 'subject_16', 'subject_18')"
Linear Regression,3.5766,17.1643,4.1347,0.0145,0.3302,0.3423,0.434,"('subject_1', 'subject_16', 'subject_18')"
Ridge Regression,3.5782,17.162,4.1345,0.0147,0.3303,0.3426,0.427,"('subject_1', 'subject_16', 'subject_18')"
Least Angle Regression,3.602,17.8133,4.2036,-0.0187,0.3374,0.3432,0.483,"('subject_1', 'subject_16', 'subject_18')"
Huber Regressor,3.6305,17.6775,4.1957,-0.0145,0.3373,0.3529,0.493,"('subject_1', 'subject_16', 'subject_18')"
Elastic Net,3.6344,17.5852,4.186,-0.0093,0.3362,0.3513,0.425,"('subject_1', 'subject_16', 'subject_18')"
Bayesian Ridge,3.6402,17.6203,4.1901,-0.0113,0.3364,0.3517,0.515,"('subject_1', 'subject_16', 'subject_18')"
Dummy Regressor,3.6402,17.6004,4.1879,-0.0103,0.3362,0.3515,0.424,"('subject_1', 'subject_16', 'subject_18')"
Lasso Regression,3.641,17.6192,4.19,-0.0113,0.3364,0.3517,0.441,"('subject_1', 'subject_16', 'subject_18')"
Lasso Least Angle Regression,3.641,17.6192,4.19,-0.0113,0.3364,0.3517,0.428,"('subject_1', 'subject_16', 'subject_18')"
Orthogonal Matching Pursuit,3.6413,17.6107,4.1889,-0.0107,0.3364,0.3518,0.436,"('subject_1', 'subject_16', 'subject_18')"
K Neighbors Regressor,3.7557,19.5233,4.4116,-0.1219,0.3489,0.3598,0.515,"('subject_1', 'subject_16', 'subject_18')"
Passive Aggressive Regressor,3.9085,22.1646,4.6667,-0.2718,0.3724,0.3839,0.427,"('subject_1', 'subject_16', 'subject_18')"
Decision Tree Regressor,4.4457,30.8022,5.5435,-0.7848,0.4309,0.3947,0.455,"('subject_1', 'subject_16', 'subject_18')"
Random Forest Regressor,3.3859,15.7528,3.9646,0.0837,0.3075,0.3094,0.554,"('subject_1', 'subject_16', 'subject_19')"
Gradient Boosting Regressor,3.4582,16.0095,3.997,0.0676,0.3131,0.3195,0.496,"('subject_1', 'subject_16', 'subject_19')"
Light Gradient Boosting Machine,3.5037,17.4804,4.1738,-0.0166,0.3193,0.3141,0.467,"('subject_1', 'subject_16', 'subject_19')"
AdaBoost Regressor,3.5104,16.2426,4.0287,0.0526,0.3195,0.3286,0.438,"('subject_1', 'subject_16', 'subject_19')"
Extra Trees Regressor,3.5185,16.9294,4.1103,0.0151,0.3193,0.3234,0.471,"('subject_1', 'subject_16', 'subject_19')"
Linear Regression,3.5729,17.1501,4.1388,0.0005,0.3309,0.342,0.52,"('subject_1', 'subject_16', 'subject_19')"
Ridge Regression,3.5729,17.1457,4.1383,0.0009,0.3309,0.3421,0.47,"('subject_1', 'subject_16', 'subject_19')"
Dummy Regressor,3.5792,17.2684,4.1525,-0.0051,0.3328,0.3442,0.434,"('subject_1', 'subject_16', 'subject_19')"
Huber Regressor,3.5792,17.3774,4.1655,-0.0121,0.3352,0.3489,0.4,"('subject_1', 'subject_16', 'subject_19')"
Bayesian Ridge,3.5821,17.2503,4.1507,-0.0044,0.3328,0.3447,0.504,"('subject_1', 'subject_16', 'subject_19')"
Orthogonal Matching Pursuit,3.5822,17.2858,4.1549,-0.0064,0.3331,0.3448,0.53,"('subject_1', 'subject_16', 'subject_19')"
Elastic Net,3.5822,17.2904,4.1555,-0.0067,0.3331,0.3448,0.491,"('subject_1', 'subject_16', 'subject_19')"
Lasso Regression,3.5838,17.2999,4.1565,-0.007,0.3332,0.3448,0.533,"('subject_1', 'subject_16', 'subject_19')"
Lasso Least Angle Regression,3.5838,17.2999,4.1565,-0.007,0.3332,0.3448,0.507,"('subject_1', 'subject_16', 'subject_19')"
Least Angle Regression,3.6069,17.9922,4.2333,-0.0454,0.3368,0.3467,0.479,"('subject_1', 'subject_16', 'subject_19')"
Passive Aggressive Regressor,3.6501,19.3468,4.3805,-0.1315,0.3556,0.3793,0.497,"('subject_1', 'subject_16', 'subject_19')"
K Neighbors Regressor,3.6873,19.0635,4.3613,-0.1084,0.3462,0.355,0.433,"('subject_1', 'subject_16', 'subject_19')"
Decision Tree Regressor,4.2397,28.6746,5.3497,-0.6754,0.4142,0.3731,0.418,"('subject_1', 'subject_16', 'subject_19')"
Random Forest Regressor,3.4567,16.2476,4.028,0.0727,0.3139,0.3182,0.669,"('subject_1', 'subject_16', 'subject_2')"
Light Gradient Boosting Machine,3.4991,17.4504,4.1753,0.0033,0.3231,0.3195,0.528,"('subject_1', 'subject_16', 'subject_2')"
Extra Trees Regressor,3.5003,16.9018,4.108,0.0363,0.3186,0.3217,0.63,"('subject_1', 'subject_16', 'subject_2')"
Gradient Boosting Regressor,3.5051,16.4305,4.0517,0.0617,0.318,0.3257,0.546,"('subject_1', 'subject_16', 'subject_2')"
AdaBoost Regressor,3.5667,16.5399,4.0655,0.0567,0.3242,0.3381,0.497,"('subject_1', 'subject_16', 'subject_2')"
Ridge Regression,3.6114,17.3279,4.1606,0.0121,0.3326,0.3461,0.4,"('subject_1', 'subject_16', 'subject_2')"
Linear Regression,3.6117,17.3313,4.1609,0.012,0.3325,0.3459,0.49,"('subject_1', 'subject_16', 'subject_2')"
Least Angle Regression,3.6134,17.3665,4.165,0.01,0.3328,0.3461,0.455,"('subject_1', 'subject_16', 'subject_2')"
Orthogonal Matching Pursuit,3.6309,17.5929,4.1924,-0.0026,0.3364,0.3506,0.428,"('subject_1', 'subject_16', 'subject_2')"
Elastic Net,3.638,17.5991,4.1932,-0.0029,0.3364,0.3509,0.422,"('subject_1', 'subject_16', 'subject_2')"
Bayesian Ridge,3.6395,17.6039,4.1939,-0.0033,0.3364,0.3509,0.442,"('subject_1', 'subject_16', 'subject_2')"
Huber Regressor,3.644,17.8752,4.2251,-0.0182,0.3397,0.3554,0.461,"('subject_1', 'subject_16', 'subject_2')"
Lasso Regression,3.6442,17.6317,4.1971,-0.0048,0.3365,0.3513,0.493,"('subject_1', 'subject_16', 'subject_2')"
Lasso Least Angle Regression,3.6442,17.6317,4.1971,-0.0048,0.3365,0.3513,0.428,"('subject_1', 'subject_16', 'subject_2')"
Dummy Regressor,3.6509,17.672,4.2019,-0.0071,0.3368,0.3517,0.479,"('subject_1', 'subject_16', 'subject_2')"
K Neighbors Regressor,3.6921,19.072,4.364,-0.0878,0.3459,0.354,0.46,"('subject_1', 'subject_16', 'subject_2')"
Decision Tree Regressor,4.5183,32.0675,5.6421,-0.8265,0.4389,0.4003,0.456,"('subject_1', 'subject_16', 'subject_2')"
Passive Aggressive Regressor,5.6903,48.3585,6.8761,-1.7538,0.5489,0.5276,0.467,"('subject_1', 'subject_16', 'subject_2')"
